index_col,content,date,like,place,tags
752,귀한 시간을 어떻게 쓸까🤔1.겨울옷정리2.웅이장난감정리3.G스테이대청소아 아 아무것도 하기시른뒙...몸과 맴이 따로논다💭💭..#집콕후유증 #코로나후유증 #코로나19 #외출금지🚫,2020-02-25,11,,"['#집콕후유증', '#코로나후유증', '#코로나19', '#외출금지🚫']"
745,.우리아들요즘 최애놀이자기구역.자기집을 만든다자꾸 자기집에 엄마도들어와서숨으라는데...#엄마죄진거없는데아들아#자꾸왜숨으래#자꾸왜지켜준대.텐트구해요안쓰시는분빌려주세요저거몇달하고말껀데또짐만들기시러요ㅋㅋㅋ.#코로나후유증...#애스타그램#아들스타그램#주부그램#코로나그램#세젤귀#아들바보그램#소통#데일리#키즈그램#육아#먹방#맛집그램#인천맛집#워킹맘#럽그램,2020-02-26,13,,"['#엄마죄진거없는데아들아', '#자꾸왜숨으래', '#자꾸왜지켜준대.텐트구해요안쓰시는분빌려주세요저거몇달하고말껀데또짐만들기시러요ㅋㅋㅋ.', '#코로나후유증...', '#애스타그램', '#아들스타그램', '#주부그램', '#코로나그램', '#세젤귀', '#아들바보그램', '#소통', '#데일리', '#키즈그램', '#육아', '#먹방', '#맛집그램', '#인천맛집', '#워킹맘', '#럽그램']"
746,코로나부작용...자전거 분해하고 조립을 못함...그냥 빵이나 굽고 격리되 있을 껄...#코로나후유증 #자전거 #자전거분해 #빵이나굽자,2020-02-26,11,,"['#코로나후유증', '#자전거', '#자전거분해', '#빵이나굽자']"
747,우리집 삼식이💙..한끼라도 밥을 안주면 할머니한테 이르는 애미나이🤣.하루종일 코로나뉴스를 보고 있으니 “신종코로나바이러스확진자”를 입에 달고 사는 녀석.#코로나후유증#동네에서#격리될듯,2020-02-26,13,동네커피,"['#코로나후유증', '#동네에서', '#격리될듯']"
748,Hello Prague 🌁 / Music On 🎺.집에만 있으니 답답해서 오랜만에 영상을 가져왔어요 🥳.🎶 프라하의 상징인 까를교. 음악과 함께 여행을 떠나볼까요?.(버스킹 연주가 진짜 좋으니까 다들 볼륨 업 🔊).모두들 행복해 보여서 좋네요 😀...#유럽 #체코 #프라하 #까를교 #버스킹 #여행영상 #여행중독#여행일기 #여행일상 #코로나 #코로나후유증 #방콕 #데일리 #일상 #소통 #일상소통 #일기 #여행에미치다 #유디니 #체크인유럽 #여행다녀왔습니다 #daily #video #prague,2020-02-26,0,Charles Bridge,"['#유럽', '#체코', '#프라하', '#까를교', '#버스킹', '#여행영상', '#여행중독', '#여행일기', '#여행일상', '#코로나', '#코로나후유증', '#방콕', '#데일리', '#일상', '#소통', '#일상소통', '#일기', '#여행에미치다', '#유디니', '#체크인유럽', '#여행다녀왔습니다', '#daily', '#video', '#prague']"
743,뭐라도 해야지... #코로나후유증 #개학도연기되고 #나갈데도없고 #뭐라도해야지 #친하게지내자 #자다가싸우지마라,2020-02-27,12,,"['#코로나후유증', '#개학도연기되고', '#나갈데도없고', '#뭐라도해야지', '#친하게지내자', '#자다가싸우지마라']"
744,집에만 있으니 입운동만😅아침 먹은지 한시간도 안 됐는데우린 또 먹는다🤣안 움직여서 소화도 안된다면서끼니때마다 간식때마다또 배가 고픈건 뭐니#결론은#또내몸은불어나는거지#코로나후유증#또맛있고난리😜,2020-02-27,32,,"['#결론은', '#또내몸은불어나는거지', '#코로나후유증', '#또맛있고난리😜']"
737,#코로나후유증#먹고자고먹고자고🐷#미치기직전😱#배내골#깜깜한밤🌙 #비그쳤다#뛰어놀자#💦💦💦#애미는유행못따라감#딸래미는쏴라있네#딸스타그램#사랑해#하루종일폰의노예#말안듣는초딩,2020-02-28,0,,"['#코로나후유증', '#먹고자고먹고자고🐷', '#미치기직전😱', '#배내골', '#깜깜한밤🌙', '#비그쳤다', '#뛰어놀자', '#💦💦💦', '#애미는유행못따라감', '#딸래미는쏴라있네', '#딸스타그램', '#사랑해', '#하루종일폰의노예', '#말안듣는초딩']"
738,#대구 #서재 #코로나19 #세상에이런일이 #방콕#코로나때문에내추억못올렸네 #다시해보자 #집에서잘먹고잘지내보려구요 #사재기 #대구떠나고싶다#코로나후유증.. #대길수산생글생굴 #엄마가준떡국떡으로떡볶이#굴전 #굴국 #비비고만두 #삼겹살 #미나리,2020-02-28,22,,"['#대구', '#서재', '#코로나19', '#세상에이런일이', '#방콕', '#코로나때문에내추억못올렸네', '#다시해보자', '#집에서잘먹고잘지내보려구요', '#사재기', '#대구떠나고싶다', '#코로나후유증..', '#대길수산생글생굴', '#엄마가준떡국떡으로떡볶이', '#굴전', '#굴국', '#비비고만두', '#삼겹살', '#미나리']"
739,춤신춤왕❤️열심히 꿈들대는 중🐛끝도 없는 무대❤️..#코로나후유증#춤의끝은어디인가#동래구춤꾼#귀염둥이💕#춤이좋은5살아들#배는뚱실😥,2020-02-28,0,,"['#코로나후유증', '#춤의끝은어디인가', '#동래구춤꾼', '#귀염둥이💕', '#춤이좋은5살아들', '#배는뚱실😥']"
740,#코로나후유증 #성격파탄 #반성중 #그치만또다시하루에 수십번씩 소리를 지르고 뭐라하고 혼내고 성격장애가 다시 시작되었다.이 끝은 어디일까..,2020-02-28,34,,"['#코로나후유증', '#성격파탄', '#반성중', '#그치만또다시하루에']"
741,#코로나후유증 지우야 좀 치우면서 놀자ㅜㅜ..#엄마는출근#아빠는육아중😁 #둘이싸우지말고잘지내길바래,2020-02-28,28,,"['#코로나후유증', '#엄마는출근', '#아빠는육아중😁', '#둘이싸우지말고잘지내길바래']"
742,#코로나후유증만사의욕상실로무기력하게 지내온지난 몇일의효과_이젠 #댕댕이들도누워서 먹기시작함--#코로나효과#누나따라하기#우리집개린이,2020-02-28,0,,"['#코로나후유증만사의욕상실로무기력하게', '#댕댕이들도누워서', '#코로나효과', '#누나따라하기', '#우리집개린이']"
734,"_설명할 수 없을 때가 있다.된장찌개가 먹고 싶어 들어간 가게에서 김치찌개를 주문한다거나,바다가 보고 싶어 떠난 곳에서 종일 숲길을 거닐다 돌아온다거나,딸기가 먹고 싶어 들른 마트에서 달랑 섬유유연제만 사 온다거나,혼자만의 시간이 절실하다고 여기면서도 이른 저녁이면여기저기 전화를 넣어 급히 약속을 잡는다거나,나를 그토록 아프게 했던 것들로부터 또 다시 달려가고 있는 내 모습이나. _#코로나후유증#혼자서도잘마셔요_",2020-02-29,21,,"['#코로나후유증', '#혼자서도잘마셔요_']"
735,"#코로나부작용#집콕일상.백만볼트 에너자이저들이에너지 발산을 못한 경우,발생하는 무서운 #대참사일명, #코로나후유증.#시끄럽다이것들아커피 먹다가 #코로나 올 뻔😅💦.#살려주세요.아~ 행복하다~~😭이게 #아들둘 키우는 맛이지~~😭❤.낚시 가신 도형제아부지,서둘러 돌아오시기 바랍니다🙏..#아들키우기 #형제일상 #형제놀이 #아들둘맘 #아들둘육아 #형제의난",2020-02-29,0,,"['#코로나부작용', '#집콕일상.백만볼트', '#대참사일명', '#코로나후유증.', '#시끄럽다이것들아커피', '#코로나', '#살려주세요.아~', '#아들둘', '#아들키우기', '#형제일상', '#형제놀이', '#아들둘맘', '#아들둘육아', '#형제의난']"
736,오늘은 공놀이...일주일을 티비와 부루마블을 하고 놀았다면 어제부터는 각자 밀린 공부를 하며 시간 보내기.....너희들 딱 걸렸어.... #포항 #세자매 #코로나후유증 #10일째방콕 #집콕놀이 #간식은더많이먹음 #생활비거덜남💶 #영어공부 #수학공부 #미술놀이 #클레이 #종이접기놀이,2020-02-29,46,Pohang,"['#포항', '#세자매', '#코로나후유증', '#10일째방콕', '#집콕놀이', '#간식은더많이먹음', '#생활비거덜남💶', '#영어공부', '#수학공부', '#미술놀이', '#클레이', '#종이접기놀이']"
727,미스터트롯꿈나무#코로나후유증#엄마빠돌#막걸리한잔#무조건#돌리도#내인생의태클을걸지마#메들리,2020-03-01,33,호매실동,"['#코로나후유증', '#엄마빠돌', '#막걸리한잔', '#무조건', '#돌리도', '#내인생의태클을걸지마', '#메들리']"
728,#코로나후유증#밤낮이바껴버린오늘#끝나지않는육아,2020-03-01,19,,"['#코로나후유증', '#밤낮이바껴버린오늘', '#끝나지않는육아']"
729,도저히 참을 수 없어서....드라이브 겸 바람쐬기... 🌊⛅다들 깝깝증에 걸렸나~~~~ 사람 많네^^;;ㆍㆍ#주말스타그램 #드라이브 #코로나후유증#가덕도 #새바지항 #새바지동굴#코로나아웃 #코로나꺼져,2020-03-01,47,,"['#주말스타그램', '#드라이브', '#코로나후유증', '#가덕도', '#새바지항', '#새바지동굴', '#코로나아웃', '#코로나꺼져']"
730,내복입고 써핑하고 해외여행에 달나라까지ㅋㅋㅋㅋㅋㅋㅋㅋ..#코로나후유증#집콕하며#놀러간기분ㅋㅋ#스노우#써핑개웃겨#발란스보드로🤭#7세#3세#남매맘,2020-03-01,29,,"['#코로나후유증', '#집콕하며', '#놀러간기분ㅋㅋ', '#스노우', '#써핑개웃겨', '#발란스보드로\U0001f92d', '#7세', '#3세', '#남매맘']"
731,_오랜만인 외출에 이쁜옷좀 들이댔더니절대로 자기가 고른거만 입는 최소 보라돌이..💜마스크는 벗어 재끼고 뿌셔뿌셔 먹으며 한다는 말엄마 그냥 우리 집에가서 뮬란 보면 안되까???#코로나후유증 #딸은 #tv중독 #엄마는 #쇼핑중독,2020-03-01,41,Paju,"['#코로나후유증', '#딸은', '#tv중독', '#엄마는', '#쇼핑중독']"
732,세시간 걸려서 완서엉-!내가 이렇게 집중력이 좋았나코로나가 사람을 이렇게 만드네😩나가고싶어 너무심심해🤬#코로나후유증 #너무심심해서 #색칠공부 #내가좋아하는 #백설공주 #이쁘군 #헤헤😛,2020-03-01,50,,"['#코로나후유증', '#너무심심해서', '#색칠공부', '#내가좋아하는', '#백설공주', '#이쁘군', '#헤헤😛']"
733,..코로나가 나에게 남긴 것!집콕! 방콕!삼시세끼!!연장된 방학에찐이도 얼집 휴원😭어쩌다보니 두달째 삼시세끼😫쌀 20kg을 한달만에 클리어!요즘 쟁이와 나의 아침은 버터 식빵토스트 홀릭~🍞점심은 은혜로운 집김밥에 라멘!🍲저녁은??나에게 메뉴를 묻지마라ㅜㅜ....#코로나후유증 #집콕중🏠 #방콕중🏠 #방학언제끝나니 #어쩌다보니#두달째 #삼시세끼 #묻지마라 #저녁메뉴,2020-03-01,15,,"['#코로나후유증', '#집콕중🏠', '#방콕중🏠', '#방학언제끝나니', '#어쩌다보니', '#두달째', '#삼시세끼', '#묻지마라', '#저녁메뉴']"
719,#home#judo#코로나후유증#마눌괴롭히기#유도하고싶은1인#경주유도원#유도초보자운동가고싶다ㅜㅜ 요즘 무기력증생길것같네#최후의한마디_도랏?,2020-03-02,0,,"['#home', '#judo', '#코로나후유증', '#마눌괴롭히기', '#유도하고싶은1인', '#경주유도원', '#유도초보자운동가고싶다ㅜㅜ', '#최후의한마디_도랏?']"
720,욕하고 싶고 짜증내고 싶고자꾸 화가 나고 피곤해 기절할거같고한놈만 걸려봐라 결국외박남 희생양으로 빼애액 핵폭탄 발사지금 상태가 어느정도냐믄누구든 콕 찌르기만해도세상에서 젤 못된 말 미운 말로멘탈 빻아버릴수 있을정도#코로나후유증#혼자있고싶어요#지금안자고쫑알대는제인이#니가지금유력하다#나는니기분다맞춰주고키워써,2020-03-02,0,,"['#코로나후유증', '#혼자있고싶어요', '#지금안자고쫑알대는제인이', '#니가지금유력하다', '#나는니기분다맞춰주고키워써']"
721,#코로나후유증 #태교바느질무급휴가받고 심심해서 만삭까지 하려고 산 태교바느질 9종 완성했다어서 잠잠해져서 평화로운 그 날이 오길 🙏#옹아리닷컴 #쥐띠맘 #띵똥 #👨‍👩‍👦,2020-03-02,64,,"['#코로나후유증', '#태교바느질무급휴가받고', '#옹아리닷컴', '#쥐띠맘', '#띵똥', '#👨\u200d👩\u200d👦']"
722,집에만 있으니아이가 이렇게된다ㅋ로주라도 보러가겠다고어디라도 나가고싶어서안된다고하니캐리어 혼자 싸고혼자 씻고혼자 옷입고 준비ㅋㅋ#코로나후유증#제대로나갈수가없으니#근데또확진자ㅠ#왜자가격리자들은돌아다니고#왜우리가자가격리해야해#광주추가확진자없어서#다행이다했는데,2020-03-02,12,,"['#코로나후유증', '#제대로나갈수가없으니', '#근데또확진자ㅠ', '#왜자가격리자들은돌아다니고', '#왜우리가자가격리해야해', '#광주추가확진자없어서', '#다행이다했는데']"
723,두아들을 키우는 집이란..전쟁터가 따로 없다.. #코로나후유증 #끝이안보이는싸움#너도힘드냐나도힘들다 #방콕#엄마는넉다운 #퇴근이두려움#그래도건강이쵝오 #아빠스타그램 #두아들 #아들스타그램 #이겨내자코로나 #엘린스타그램,2020-03-02,19,,"['#코로나후유증', '#끝이안보이는싸움', '#너도힘드냐나도힘들다', '#방콕', '#엄마는넉다운', '#퇴근이두려움', '#그래도건강이쵝오', '#아빠스타그램', '#두아들', '#아들스타그램', '#이겨내자코로나', '#엘린스타그램']"
724,#코로나#세종#새롬동둘째 얼집 엄마들이랑 만나그 동안 어케 지냈냐..갑갑해서 혼났다며... 다들 다음주에커피한잔 하자며 하고 돌아와서는봄되면 입을려고 사둔 샤랄라원피스를입고 있는 나를.....꿈에서 봤다.....개학 2주 추가연기 될려는#빅픽쳐 였던가.......#일장춘몽아이들은 YTN 뉴스 광고를 외웠다....#코로나후유증,2020-03-02,30,,"['#코로나', '#세종', '#새롬동둘째', '#빅픽쳐', '#일장춘몽아이들은', '#코로나후유증']"
725,"아침부터 말대꾸 해서 호되게 혼난애 👶🏻 요즘 육춘기가 오는지, 말끝마다 따라하길래 벼르다가 혼내고 벌세우는데 뒷모습 귀여워서 웃고 찍다가 걸림 ...😩 아 진짜혼낼 때 새어나오는 웃음 참기가 젤 힘듦 😭.. 그나저나 너 유치원 몇일째 안가는거니 진짜 엄마 너무 힘들다 ... 애들이랑 집에서 할만한거 뭐있을까여? 티비중독자 되어가는 애 😩 ...#코러나새끼가뺏어간내자유#심쿵뒷태 #육아고수님들도와주세요 #쿠팡으로뭐시키지 #쿠팡매니아#하루종일쇼핑만해대는중 #코로나후유증",2020-03-02,122,,"['#코러나새끼가뺏어간내자유', '#심쿵뒷태', '#육아고수님들도와주세요', '#쿠팡으로뭐시키지', '#쿠팡매니아', '#하루종일쇼핑만해대는중', '#코로나후유증']"
726,".얘들아...엄마랑그림맞추기라도 할까...,...?점점 미쳐가는중..,..인싸템 도착햇는데함께할 사람이 없네.엉엉.코로나만 아니면우리집으로 모엿!!!하고싶네..@imssoyoon 니라도 올래?조카들보러 오는데코로나가 대수가?어?......#양아치애미#우리집으로#모여#인싸템#코로나후유증#남매맘 #애둘맘 #화투스타그램 #패피키즈 #일상#한국놀이 #일상스타그램 #럽스타그램 #데일리 #daily #셀스타그램 #애스타그램 #selfie #육아 #얼스타그램 #육아스타그램 #세젤귀 #먹스타그램 #이모소환",2020-03-02,23,,"['#양아치애미', '#우리집으로', '#모여', '#인싸템', '#코로나후유증', '#남매맘', '#애둘맘', '#화투스타그램', '#패피키즈', '#일상', '#한국놀이', '#일상스타그램', '#럽스타그램', '#데일리', '#daily', '#셀스타그램', '#애스타그램', '#selfie', '#육아', '#얼스타그램', '#육아스타그램', '#세젤귀', '#먹스타그램', '#이모소환']"
708,. 어제 12시반에 자고 오늘 아침 10시반에 일어나 낮잠도 안자고하루종일 아악 엉엉 징징 3종세트로 행패부리다가 욱한 엄마한테 디지게 혼나고 대성통곡 후 7시에 잠이 드셨는데..9시에 한번 12시에 한번 일어나 엄마? 하며 세상 귀엽게 웃어주더니코자까하는 나의 제안에 뜬금없이로보카 폴리에 괴물이 나왔는데 알고보니 부엉이었다는 TMI 전달 후두시간반째 엄마한번 안찾고 뜬눈으로 뒹굴뒹굴 중이심..무서워서 텐트 못걷어 보겠어... 나도 못자겠어.......#육아스타그램 #나야말로TMI #땡깡안부리니더무서워 #언제잘래 #코로나후유증 #언제쯤끝날까 #언제쯤정상적인수면이가능할까,2020-03-03,11,,"['#육아스타그램', '#나야말로TMI', '#땡깡안부리니더무서워', '#언제잘래', '#코로나후유증', '#언제쯤끝날까', '#언제쯤정상적인수면이가능할까']"
709,코로나로 인한...😅🤦🏻‍♂️...아침부터 추노 코스프레가고싶은곳 상상하기성격은 예민해지고겁이 많아진다어여 지나가거라 제발🙏🏻(옆으로 넘겨보세요👉🏻),2020-03-03,339,,[]
710,"코로나후유증 2탄~여수에서 어머님이시금치, 달래, 쑥, 오이, 무우 를 보내주셨다 !!!시금치데쳐서 나물하고달래다듬어 ㅠ  달래장하고(진짜 맛남  ㅋㅋ)쑥은 오늘 다싯물만들어 내일 된장국 끓이는걸로~그리고  고민고민하다난생처음 오이와 무로 깍두기를 해봤다~~맛은 글쎄~~~ ㅎㅎ한식은 손이 많이 간다능~이제 육수 인덕션에 4단으로 1시간 쎗팅해놓고딸램이 맛사지 쿠폰 써서 맛사지 받으며11시에하는 ""달달한 야밤 베이킹"" 라방 시청~~ ㅎㅎ  좋당~~ #한식 #달래장 #물없이시금치데치기 #퀸쿡사랑#코로나후유증 #긴긴방학",2020-03-03,8,,"['#한식', '#달래장', '#물없이시금치데치기', '#퀸쿡사랑', '#코로나후유증', '#긴긴방학']"
711,#200303인적이 드문곳을 찾아 에너지폭발🌋배드민턴에 미치다#대구대#배드민턴 #코로나후유증 #개학연기#학교가고싶어요#나도보내고싶다 #다보낸뒤커피#마시고싶다☕,2020-03-03,19,,"['#200303인적이', '#대구대', '#배드민턴', '#코로나후유증', '#개학연기', '#학교가고싶어요', '#나도보내고싶다', '#다보낸뒤커피', '#마시고싶다☕']"
712,_대담하게 살아요.끝까지 밀어붙여요.안주하지 말아요.당당하게 말해요.생각은 너무 많이 하지 말아요.당신이 슬퍼지는 건 싫으니까.그냥 잘 살아요그냥 살아요._#코로나후유증#옛날사진소환#내금발돌리도_,2020-03-03,23,,"['#코로나후유증', '#옛날사진소환', '#내금발돌리도_']"
713,윤나빈은 원시인? 도깨비?ㅋㅋㅋㅋㅋㅋ하....😔😔😔집에만 있으니 집안꼴은 엉망이고...우리딸은 왜이러는거지...ㅎㅎㅎㅋㅋㅋㅋㅋㅋㅋ코로나 제발 물러가라👊👊👊...#코로나#코로나후유증 #10개월아기 #생후319일#돌준맘 #내딸은원시인인가#도깨비인가,2020-03-03,52,,"['#코로나', '#코로나후유증', '#10개월아기', '#생후319일', '#돌준맘', '#내딸은원시인인가', '#도깨비인가']"
714,요즘 내 일상😨-코로나19로 아침마다 고차장님 모셔드리고데리러 다니는 순기사👨‍✈️ 고생이 많다언니가 미안해 근데 순기사~~지금어디야??-#코로나19야언능물러가라#순기사피곤하다#순기사도휴가줘야한다#코로나후유증 #순대는피곤해 #언니가미안해,2020-03-03,32,,"['#코로나19야언능물러가라', '#순기사피곤하다', '#순기사도휴가줘야한다', '#코로나후유증', '#순대는피곤해', '#언니가미안해']"
715,..사진 보여주니🗣혹시 박쥐 아니가?#코로나후유증#🦇#웃픈현실#😂.점점 주변으로 가까이 오는거 같네요👊.#코로나#코로나19#청정지역#없음#모두조심하세요#😷#🤧#🤭#🌬#❌#🚿#🛁#🙌🏻#⭕,2020-03-03,92,,"['#코로나후유증', '#🦇', '#웃픈현실', '#😂.점점', '#코로나', '#코로나19', '#청정지역', '#없음', '#모두조심하세요', '#😷', '#🤧', '#\U0001f92d', '#🌬', '#❌', '#🚿', '#🛁', '#🙌🏻', '#⭕']"
716,요즘 많이 보이길래 #딸기탕후루 후다닥 만들어#딸기에이드 시원하게 한잔~~달콤한 딸기 탕후루~~시원한 딸기에이드와 달콤한 탕후루 만남 정말 강추합니다 ㅎ~~다들 만들어 드셔보세요#더스윗베어 #온리단길 #온천천카페 #딸기에이드#딸기탕후루 #존맛#두번머거#카페놀이#코로나후유증 #온천천카페거리,2020-03-03,0,,"['#딸기탕후루', '#딸기에이드', '#더스윗베어', '#온리단길', '#온천천카페', '#딸기에이드', '#딸기탕후루', '#존맛', '#두번머거', '#카페놀이', '#코로나후유증', '#온천천카페거리']"
717,.집에서 캠핑하기 효자손으로 마시멜로우 구워먹는 딸램ㅋㅋㅋㅋ..#코로나후유증 #집에서놀기 #잘도꾸며놨네 #귀여운데짠한건왜냐 #좀만참자얘들아,2020-03-03,26,,"['#코로나후유증', '#집에서놀기', '#잘도꾸며놨네', '#귀여운데짠한건왜냐', '#좀만참자얘들아']"
718,#집에서 #약식만들기 💕#간식🎵🍡🍬 #약밥 #코로나로인해 시간이많아짐ㅠ #강제휴식중#출출할때마다 먹음 쵝오👍#건포도💗 #건포도약밥 #약식황금레시피 #약식#아이들간식#코로나후유증#코로나짜증나🤬 #요리스타그램 #일상,2020-03-03,42,,"['#집에서', '#약식만들기', '#간식🎵🍡🍬', '#약밥', '#코로나로인해', '#강제휴식중', '#출출할때마다', '#건포도💗', '#건포도약밥', '#약식황금레시피', '#약식', '#아이들간식', '#코로나후유증', '#코로나짜증나\U0001f92c', '#요리스타그램', '#일상']"
